Provincias	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	1998	4666271
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2022	1149344
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2021	1154334
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2020	1159443
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2019	1152651
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2018	1149628
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2017	1148302
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2016	1147576
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2015	1148775
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2014	1151905
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2013	1156447
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2012	1158439
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2011	1155772
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2010	1153724
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2009	1152658
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2008	1146421
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2007	1141457
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2006	1139863
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2005	1136181
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2004	1132861
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2003	1133428
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2002	1133444
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2001	1132616
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	2000	1132729
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	1999	1137418
48 Bizkaia	TOTAL EDADES	TOTAL	Ambos sexos	1998	1137594
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2022	355045
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2021	356055
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2020	357650
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2019	356958
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2018	357070
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2017	358171
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2016	360995
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2015	364002
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2014	366900
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2013	371248
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2012	374970
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2011	375657
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2010	374826
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2009	375563
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2008	373672
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2007	365972
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2006	363874
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2005	361021
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2004	356437
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2003	355205
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2002	352723
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2001	349810
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	2000	347240
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	1999	347218
09 Burgos	TOTAL EDADES	TOTAL	Ambos sexos	1998	346355
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2022	387805
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2021	389558
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2020	391850
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2019	394151
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2018	396487
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2017	400036
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2016	403665
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2015	406267
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2014	408703
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2013	410275
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2012	413597
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2011	415446
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2010	415083
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2009	413633
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2008	412498
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2007	411531
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2006	412899
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2005	412580
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2004	411390
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2003	410762
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2002	410242
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2001	409130
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	2000	407546
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	1999	408949
10 Cáceres	TOTAL EDADES	TOTAL	Ambos sexos	1998	405616
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2022	1246781
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2021	1245960
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2020	1244049
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2019	1240155
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2018	1238714
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2017	1239435
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2016	1239889
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2015	1240284
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2014	1240175
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2013	1238492
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2012	1245164
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2011	1243519
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2010	1236739
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2009	1230594
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2008	1220467
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2007	1207343
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2006	1194062
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2005	1180817
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2004	1164374
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2003	1155724
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2002	1140793
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2001	1131346
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	2000	1125105
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	1999	1119802
11 Cádiz	TOTAL EDADES	TOTAL	Ambos sexos	1998	1107484
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2022	585402
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2021	584507
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2020	582905
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2019	581078
